instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,yr_label,weekday_label,temp_celsius,atemp_celsius,hum_pct,windspeed_kmh
14,1/1/2011,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Spring,Mist/Cloudy,2011,Sat,18.86,22.725,72,19.9995
15,1/1/2011,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Spring,Mist/Cloudy,2011,Sat,18.86,22.725,72,19.0012
16,1/1/2011,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Spring,Mist/Cloudy,2011,Sat,18.04,21.97,77,19.9995
17,1/1/2011,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Spring,Mist/Cloudy,2011,Sat,17.22,21.21,82,19.9995
18,1/1/2011,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Spring,Mist/Cloudy,2011,Sat,18.04,21.97,82,19.0012
19,1/1/2011,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Spring,Light Rain/Snow,2011,Sat,17.22,21.21,88,16.9979
20,1/1/2011,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Spring,Light Rain/Snow,2011,Sat,17.22,21.21,88,16.9979
21,1/1/2011,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Spring,Mist/Cloudy,2011,Sat,16.4,20.455,87,16.9979
22,1/1/2011,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Spring,Mist/Cloudy,2011,Sat,16.4,20.455,87,12.998
23,1/1/2011,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Spring,Mist/Cloudy,2011,Sat,16.4,20.455,94,15.0013
24,1/1/2011,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Spring,Mist/Cloudy,2011,Sat,18.86,22.725,88,19.9995
25,1/2/2011,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Spring,Mist/Cloudy,2011,Sun,18.86,22.725,88,19.9995
26,1/2/2011,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Spring,Mist/Cloudy,2011,Sun,18.04,21.97,94,16.9979
27,1/2/2011,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,Spring,Mist/Cloudy,2011,Sun,17.22,21.21,100,19.0012
28,1/2/2011,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Spring,Mist/Cloudy,2011,Sun,18.86,22.725,94,12.998
29,1/2/2011,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Spring,Mist/Cloudy,2011,Sun,18.86,22.725,94,12.998
30,1/2/2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Spring,Light Rain/Snow,2011,Sun,17.22,21.21,77,19.9995
31,1/2/2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Spring,Mist/Cloudy,2011,Sun,16.4,20.455,76,12.998
32,1/2/2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Spring,Light Rain/Snow,2011,Sun,16.4,20.455,71,15.0013
33,1/2/2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Spring,Mist/Cloudy,2011,Sun,15.58,19.695,76,15.0013
34,1/2/2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Spring,Mist/Cloudy,2011,Sun,14.76,17.425,81,15.0013
35,1/2/2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Spring,Mist/Cloudy,2011,Sun,14.76,16.665,71,16.9979
36,1/2/2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Spring,Mist/Cloudy,2011,Sun,14.76,16.665,66,19.9995
37,1/2/2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Spring,Mist/Cloudy,2011,Sun,14.76,17.425,66,8.9981
38,1/2/2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Spring,Light Rain/Snow,2011,Sun,14.76,17.425,76,12.998
39,1/2/2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Spring,Light Rain/Snow,2011,Sun,13.94,16.665,81,11.0014
40,1/2/2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Spring,Light Rain/Snow,2011,Sun,13.94,16.665,71,11.0014
41,1/2/2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Spring,Clear/Partly Cloudy,2011,Sun,13.94,16.665,57,12.998
42,1/2/2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Spring,Mist/Cloudy,2011,Sun,14.76,16.665,46,22.0028
43,1/2/2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Spring,Clear/Partly Cloudy,2011,Sun,13.12,14.395,42,30.0026
44,1/2/2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Spring,Clear/Partly Cloudy,2011,Sun,12.3,13.635,39,23.9994
45,1/2/2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Spring,Clear/Partly Cloudy,2011,Sun,10.66,11.365,44,22.0028
46,1/2/2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Spring,Clear/Partly Cloudy,2011,Sun,9.84,10.605,44,19.9995
47,1/2/2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Spring,Clear/Partly Cloudy,2011,Sun,9.02,11.365,47,11.0014
48,1/3/2011,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Spring,Clear/Partly Cloudy,2011,Mon,9.02,9.85,44,23.9994
49,1/3/2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Spring,Clear/Partly Cloudy,2011,Mon,8.2,8.335,44,27.9993
50,1/3/2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Spring,Clear/Partly Cloudy,2011,Mon,6.56,6.82,47,26.0027
51,1/3/2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Spring,Clear/Partly Cloudy,2011,Mon,6.56,6.82,47,19.0012
52,1/3/2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Spring,Clear/Partly Cloudy,2011,Mon,5.74,5.305,50,26.0027
53,1/3/2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Spring,Clear/Partly Cloudy,2011,Mon,5.74,6.82,50,12.998
54,1/3/2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Spring,Clear/Partly Cloudy,2011,Mon,5.74,6.06,50,19.0012
55,1/3/2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Spring,Clear/Partly Cloudy,2011,Mon,6.56,6.82,43,26.0027
56,1/3/2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Spring,Clear/Partly Cloudy,2011,Mon,7.38,8.335,43,16.9979
57,1/3/2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Spring,Clear/Partly Cloudy,2011,Mon,8.2,9.09,40,22.0028
58,1/3/2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Spring,Clear/Partly Cloudy,2011,Mon,9.02,10.605,35,19.9995
59,1/3/2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Spring,Clear/Partly Cloudy,2011,Mon,9.84,10.605,35,19.0012
60,1/3/2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Spring,Clear/Partly Cloudy,2011,Mon,10.66,12.12,30,19.0012
61,1/3/2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Spring,Clear/Partly Cloudy,2011,Mon,10.66,12.12,30,16.9979
62,1/3/2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Spring,Clear/Partly Cloudy,2011,Mon,10.66,12.12,30,16.9979
63,1/3/2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Spring,Clear/Partly Cloudy,2011,Mon,9.84,11.365,30,15.0013
64,1/3/2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Spring,Clear/Partly Cloudy,2011,Mon,9.84,12.88,32,7.0015
65,1/3/2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,Spring,Clear/Partly Cloudy,2011,Mon,8.2,12.88,47,0
66,1/3/2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Spring,Clear/Partly Cloudy,2011,Mon,8.2,11.365,47,7.0015
67,1/3/2011,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Spring,Clear/Partly Cloudy,2011,Mon,7.38,9.85,64,8.9981
68,1/3/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Spring,Clear/Partly Cloudy,2011,Mon,5.74,7.575,69,8.9981
69,1/3/2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Spring,Clear/Partly Cloudy,2011,Mon,7.38,10.605,55,7.0015
70,1/4/2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Spring,Clear/Partly Cloudy,2011,Tue,6.56,9.09,55,7.0015
71,1/4/2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Spring,Clear/Partly Cloudy,2011,Tue,6.56,9.09,59,7.0015
72,1/4/2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Spring,Clear/Partly Cloudy,2011,Tue,5.74,7.575,63,8.9981
73,1/4/2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Spring,Clear/Partly Cloudy,2011,Tue,5.74,9.09,63,6.0032
74,1/4/2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Spring,Clear/Partly Cloudy,2011,Tue,4.92,7.575,68,7.0015
75,1/4/2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Spring,Clear/Partly Cloudy,2011,Tue,4.92,7.575,74,7.0015
76,1/4/2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Spring,Clear/Partly Cloudy,2011,Tue,4.92,7.575,74,8.9981
77,1/4/2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Spring,Clear/Partly Cloudy,2011,Tue,5.74,7.575,69,11.0014
78,1/4/2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Spring,Clear/Partly Cloudy,2011,Tue,6.56,7.575,64,15.0013
79,1/4/2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Spring,Mist/Cloudy,2011,Tue,6.56,6.82,69,22.0028
80,1/4/2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Spring,Clear/Partly Cloudy,2011,Tue,9.02,10.605,51,19.9995
81,1/4/2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Spring,Clear/Partly Cloudy,2011,Tue,9.02,11.365,51,11.0014
82,1/4/2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Spring,Clear/Partly Cloudy,2011,Tue,9.84,11.365,56,12.998
83,1/4/2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Spring,Clear/Partly Cloudy,2011,Tue,10.66,12.88,52,15.0013
84,1/4/2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Spring,Clear/Partly Cloudy,2011,Tue,11.48,13.635,52,16.9979
85,1/4/2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Spring,Clear/Partly Cloudy,2011,Tue,12.3,14.395,49,16.9979
86,1/4/2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Spring,Clear/Partly Cloudy,2011,Tue,11.48,13.635,48,15.0013
87,1/4/2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Spring,Clear/Partly Cloudy,2011,Tue,10.66,12.88,48,12.998
88,1/4/2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Spring,Clear/Partly Cloudy,2011,Tue,9.84,12.88,48,7.0015
89,1/4/2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Spring,Clear/Partly Cloudy,2011,Tue,9.84,12.88,48,7.0015
90,1/4/2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,Spring,Clear/Partly Cloudy,2011,Tue,9.02,13.635,64,0
91,1/4/2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Spring,Clear/Partly Cloudy,2011,Tue,9.02,12.88,64,6.0032
92,1/4/2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Spring,Clear/Partly Cloudy,2011,Tue,8.2,11.365,69,6.0032
93,1/5/2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,Spring,Clear/Partly Cloudy,2011,Wed,8.2,12.88,64,0
94,1/5/2011,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Spring,Clear/Partly Cloudy,2011,Wed,6.56,9.85,74,6.0032
95,1/5/2011,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Spring,Clear/Partly Cloudy,2011,Wed,6.56,9.85,74,6.0032
96,1/5/2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Spring,Clear/Partly Cloudy,2011,Wed,9.84,11.365,48,15.0013
97,1/5/2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Spring,Clear/Partly Cloudy,2011,Wed,9.02,11.365,47,11.0014
98,1/5/2011,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Spring,Clear/Partly Cloudy,2011,Wed,8.2,9.85,47,15.0013
99,1/5/2011,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Spring,Clear/Partly Cloudy,2011,Wed,7.38,9.09,43,12.998
100,1/5/2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Spring,Clear/Partly Cloudy,2011,Wed,8.2,9.09,40,19.9995
101,1/5/2011,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Spring,Clear/Partly Cloudy,2011,Wed,9.02,9.85,37,22.0028
102,1/5/2011,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Spring,Clear/Partly Cloudy,2011,Wed,9.02,9.85,37,22.0028
103,1/5/2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Spring,Clear/Partly Cloudy,2011,Wed,10.66,11.365,33,22.0028
104,1/5/2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Spring,Clear/Partly Cloudy,2011,Wed,10.66,11.365,33,22.0028
105,1/5/2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Spring,Clear/Partly Cloudy,2011,Wed,11.48,12.88,30,19.9995
106,1/5/2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Spring,Clear/Partly Cloudy,2011,Wed,12.3,14.395,28,12.998
107,1/5/2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Spring,Clear/Partly Cloudy,2011,Wed,12.3,14.395,28,12.998
108,1/5/2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Spring,Clear/Partly Cloudy,2011,Wed,12.3,15.91,28,6.0032
109,1/5/2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Spring,Clear/Partly Cloudy,2011,Wed,9.84,11.365,38,12.998
110,1/5/2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Spring,Clear/Partly Cloudy,2011,Wed,9.84,12.12,38,8.9981
111,1/5/2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Spring,Clear/Partly Cloudy,2011,Wed,9.84,12.88,38,7.0015
112,1/5/2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Spring,Clear/Partly Cloudy,2011,Wed,9.02,11.365,47,11.0014
113,1/5/2011,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Spring,Clear/Partly Cloudy,2011,Wed,8.2,9.85,51,12.998
114,1/5/2011,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Spring,Clear/Partly Cloudy,2011,Wed,7.38,9.85,55,8.9981
115,1/5/2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,Spring,Clear/Partly Cloudy,2011,Wed,8.2,12.88,47,0
116,1/6/2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,Spring,Clear/Partly Cloudy,2011,Thu,7.38,12.12,55,0
117,1/6/2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,Spring,Clear/Partly Cloudy,2011,Thu,6.56,11.365,64,0
118,1/6/2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,Spring,Clear/Partly Cloudy,2011,Thu,6.56,11.365,64,0
119,1/6/2011,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Spring,Mist/Cloudy,2011,Thu,6.56,9.85,64,6.0032
120,1/6/2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Spring,Mist/Cloudy,2011,Thu,5.74,9.09,69,6.0032
121,1/6/2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Spring,Mist/Cloudy,2011,Thu,5.74,8.335,63,7.0015
122,1/6/2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,Spring,Mist/Cloudy,2011,Thu,6.56,11.365,59,0
123,1/6/2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,Spring,Clear/Partly Cloudy,2011,Thu,6.56,11.365,59,0
124,1/6/2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,Spring,Mist/Cloudy,2011,Thu,7.38,12.12,51,0
125,1/6/2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,Spring,Clear/Partly Cloudy,2011,Thu,8.2,12.88,47,0
126,1/6/2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Spring,Clear/Partly Cloudy,2011,Thu,9.02,12.88,44,6.0032
127,1/6/2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,Spring,Clear/Partly Cloudy,2011,Thu,10.66,14.395,35,0
128,1/6/2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Spring,Clear/Partly Cloudy,2011,Thu,10.66,13.635,35,7.0015
129,1/6/2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Spring,Clear/Partly Cloudy,2011,Thu,11.48,13.635,36,11.0014
130,1/6/2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,Spring,Clear/Partly Cloudy,2011,Thu,11.48,13.635,36,0
131,1/6/2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Spring,Clear/Partly Cloudy,2011,Thu,10.66,12.88,38,11.0014
132,1/6/2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Spring,Clear/Partly Cloudy,2011,Thu,9.02,11.365,51,11.0014
133,1/6/2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Spring,Clear/Partly Cloudy,2011,Thu,9.02,11.365,51,8.9981
134,1/6/2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Spring,Clear/Partly Cloudy,2011,Thu,9.02,12.88,55,6.0032
135,1/6/2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Spring,Clear/Partly Cloudy,2011,Thu,8.2,10.605,51,11.0014
136,1/6/2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Spring,Mist/Cloudy,2011,Thu,9.02,10.605,55,15.0013
137,1/6/2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Spring,Mist/Cloudy,2011,Thu,9.02,10.605,51,19.0012
138,1/6/2011,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Spring,Mist/Cloudy,2011,Thu,8.2,9.85,59,12.998
139,1/7/2011,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Spring,Mist/Cloudy,2011,Fri,8.2,9.85,64,12.998
140,1/7/2011,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Spring,Mist/Cloudy,2011,Fri,8.2,9.85,69,15.0013
141,1/7/2011,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Spring,Mist/Cloudy,2011,Fri,8.2,9.85,69,15.0013
142,1/7/2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Spring,Mist/Cloudy,2011,Fri,8.2,10.605,69,8.9981
143,1/7/2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,Spring,Light Rain/Snow,2011,Fri,9.02,13.635,55,0
144,1/7/2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,Spring,Mist/Cloudy,2011,Fri,8.2,12.88,69,0
145,1/7/2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Spring,Clear/Partly Cloudy,2011,Fri,8.2,10.605,69,8.9981
146,1/7/2011,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Spring,Clear/Partly Cloudy,2011,Fri,8.2,9.85,51,16.9979
147,1/7/2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Spring,Clear/Partly Cloudy,2011,Fri,8.2,9.09,47,19.9995
148,1/7/2011,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Spring,Clear/Partly Cloudy,2011,Fri,9.02,9.85,37,22.0028
149,1/7/2011,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Spring,Mist/Cloudy,2011,Fri,8.2,9.85,40,15.0013
150,1/7/2011,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Spring,Mist/Cloudy,2011,Fri,8.2,9.85,37,16.9979
151,1/7/2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Spring,Mist/Cloudy,2011,Fri,8.2,9.09,37,19.0012
152,1/7/2011,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Spring,Mist/Cloudy,2011,Fri,8.2,9.85,40,16.9979
153,1/7/2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Spring,Mist/Cloudy,2011,Fri,8.2,10.605,37,11.0014
154,1/7/2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Spring,Mist/Cloudy,2011,Fri,8.2,10.605,37,11.0014
155,1/7/2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,Spring,Mist/Cloudy,2011,Fri,8.2,12.88,37,0
156,1/7/2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Spring,Clear/Partly Cloudy,2011,Fri,8.2,11.365,40,6.0032
157,1/7/2011,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Spring,Clear/Partly Cloudy,2011,Fri,6.56,9.85,55,6.0032
158,1/7/2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Spring,Clear/Partly Cloudy,2011,Fri,7.38,10.605,47,7.0015
159,1/7/2011,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Spring,Clear/Partly Cloudy,2011,Fri,7.38,9.85,47,8.9981
160,1/7/2011,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Spring,Mist/Cloudy,2011,Fri,7.38,9.85,43,11.0014
