instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,yr_label,weekday_label,temp_celsius,atemp_celsius,hum_pct,windspeed_kmh,perf_cluster
27,1/27/2011,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Spring,Clear/Partly Cloudy,2011,Thu,7.995,10.985,68.75,7.627079,Low
28,1/28/2011,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Spring,Mist/Cloudy,2011,Fri,8.342598,11.16585,79.3043,8.2611,Low
29,1/29/2011,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Spring,Clear/Partly Cloudy,2011,Sat,8.057402,10.6063,65.1739,9.739455,Low
30,1/30/2011,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Spring,Clear/Partly Cloudy,2011,Sun,8.877402,12.5161,72.2174,4.9568342,Low
31,1/31/2011,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Spring,Mist/Cloudy,2011,Mon,7.414153,9.3125,60.375,12.541864,Low
32,2/1/2011,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Spring,Mist/Cloudy,2011,Tue,7.879134,11.7265,82.9565,3.565271,Low
33,2/2/2011,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Spring,Mist/Cloudy,2011,Wed,10.66,12.72085,77.5417,17.708636,Low
34,2/3/2011,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Spring,Clear/Partly Cloudy,2011,Thu,7.665237,8.8939,43.7826,18.609384,Low
35,2/4/2011,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Spring,Mist/Cloudy,2011,Fri,8.663464,11.42935,58.5217,8.565213,Low
36,2/5/2011,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Spring,Mist/Cloudy,2011,Sat,9.566653,12.1529,92.9167,10.792293,Low
37,2/6/2011,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Spring,Clear/Partly Cloudy,2011,Sun,11.719153,14.58355,56.8333,9.5006,Low
38,2/7/2011,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Spring,Clear/Partly Cloudy,2011,Mon,11.138347,15.1829,73.8333,3.0423561,Low
39,2/8/2011,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Spring,Clear/Partly Cloudy,2011,Tue,9.054153,9.9123,53.7917,24.25065,Low
40,2/9/2011,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Spring,Mist/Cloudy,2011,Wed,5.526103,7.21415,49.4783,12.652213,Low
41,2/10/2011,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Spring,Clear/Partly Cloudy,2011,Thu,5.918268,7.4774,43.7391,14.869645,Low
42,2/11/2011,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Spring,Clear/Partly Cloudy,2011,Fri,7.752731,10.67545,50.6364,7.27285,Low
43,2/12/2011,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Spring,Clear/Partly Cloudy,2011,Sat,9.1225,11.6477,54.4167,13.625589,Low
44,2/13/2011,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Spring,Clear/Partly Cloudy,2011,Sun,12.977402,16.20565,45.7391,17.479161,Low
45,2/14/2011,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Spring,Clear/Partly Cloudy,2011,Mon,17.015,19.9175,37.5833,27.999836,Low
46,2/15/2011,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Spring,Clear/Partly Cloudy,2011,Tue,10.909567,12.7137,31.4348,19.522058,Low
47,2/16/2011,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Spring,Clear/Partly Cloudy,2011,Wed,13.048701,15.81,42.3478,16.869997,Low
48,2/17/2011,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Spring,Clear/Partly Cloudy,2011,Thu,17.869153,21.4329,50.5,15.416968,Low
49,2/18/2011,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Spring,Clear/Partly Cloudy,2011,Fri,21.388347,25.59915,51.6667,17.749975,Low
50,2/19/2011,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Spring,Clear/Partly Cloudy,2011,Sat,16.365847,19.5702,18.7917,34.000021,Low
51,2/20/2011,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Spring,Clear/Partly Cloudy,2011,Sun,11.693897,13.8665,40.7826,14.956745,Low
52,2/21/2011,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Spring,Mist/Cloudy,2011,Mon,12.436653,14.20375,60.5,20.625682,Low
53,2/22/2011,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Spring,Clear/Partly Cloudy,2011,Tue,7.471102,9.30165,57.7778,13.110761,Low
54,2/23/2011,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Spring,Clear/Partly Cloudy,2011,Wed,9.091299,12.28585,42.3043,6.305571,Low
55,2/24/2011,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Spring,Mist/Cloudy,2011,Thu,12.121732,14.45955,69.7391,16.783232,Low
56,2/25/2011,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Spring,Mist/Cloudy,2011,Fri,14.938268,17.52305,71.2174,23.218113,Low
57,2/26/2011,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Spring,Clear/Partly Cloudy,2011,Sat,11.5825,14.1096,53.7917,12.500257,Low
58,2/27/2011,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Spring,Clear/Partly Cloudy,2011,Sun,14.082598,17.55545,68,8.391616,Low
59,2/28/2011,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Spring,Mist/Cloudy,2011,Mon,16.698193,20.0059,87.6364,19.408962,Low
60,3/1/2011,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Spring,Clear/Partly Cloudy,2011,Tue,10.933347,13.19395,53.5,14.500475,Low
61,3/2/2011,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Spring,Clear/Partly Cloudy,2011,Wed,13.735,16.00355,44.9583,20.624811,Low
62,3/3/2011,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Spring,Clear/Partly Cloudy,2011,Thu,8.131653,10.00665,31.8333,15.125518,Low
63,3/4/2011,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Spring,Mist/Cloudy,2011,Fri,10.728347,12.78395,61.0417,13.624182,Low
64,3/5/2011,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Spring,Mist/Cloudy,2011,Sat,15.750847,18.93895,78.9167,16.875357,Low
65,3/6/2011,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Spring,Mist/Cloudy,2011,Sun,15.437402,18.3126,94.8261,23.000229,Low
66,3/7/2011,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Spring,Clear/Partly Cloudy,2011,Mon,10.731299,11.92305,55.1304,22.870584,Low
67,3/8/2011,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Spring,Clear/Partly Cloudy,2011,Tue,11.9925,15.12,42.0833,8.08355,Low
68,3/9/2011,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Spring,Mist/Cloudy,2011,Wed,12.129153,14.3304,77.5417,14.75005,Low
69,3/10/2011,1,0,3,0,4,1,3,0.389091,0.385668,0.6270835,0.261877,46,577,623,Spring,Light Rain/Snow,2011,Thu,15.952731,19.2834,62.70835,17.545759,Low
70,3/11/2011,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Spring,Mist/Cloudy,2011,Fri,12.977402,15.25,64.9565,15.60899,Low
71,3/12/2011,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Spring,Clear/Partly Cloudy,2011,Sat,13.495847,16.2875,59.4583,14.791925,Low
72,3/13/2011,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Spring,Clear/Partly Cloudy,2011,Sun,15.758268,19.00455,52.7391,18.130468,Low
73,3/14/2011,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Spring,Clear/Partly Cloudy,2011,Mon,13.333897,16.6,49.6957,9.174042,Low
74,3/15/2011,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Spring,Mist/Cloudy,2011,Tue,13.013031,15.9089,65.5652,12.348703,Low
75,3/16/2011,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Spring,Mist/Cloudy,2011,Wed,14.973897,18.3465,77.6522,13.608839,Low
76,3/17/2011,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Spring,Clear/Partly Cloudy,2011,Thu,17.015,20.51665,60.2917,14.041793,Low
77,3/18/2011,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Spring,Clear/Partly Cloudy,2011,Fri,22.14,26.35045,52.5217,15.478139,Medium
78,3/19/2011,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Spring,Clear/Partly Cloudy,2011,Sat,19.3725,23.32625,37.9167,24.667189,Low
79,3/20/2011,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Spring,Clear/Partly Cloudy,2011,Sun,13.6325,16.2875,47.375,13.917307,Low
80,3/21/2011,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Summer,Mist/Cloudy,2011,Mon,17.647835,20.48675,73.7391,19.348461,Low
81,3/22/2011,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Summer,Clear/Partly Cloudy,2011,Tue,18.108347,22.0321,62.4583,15.12525,Low
82,3/23/2011,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Summer,Mist/Cloudy,2011,Wed,14.225237,16.89695,83.9565,15.695487,Low
83,3/24/2011,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Summer,Mist/Cloudy,2011,Thu,11.685,13.54165,80.5833,16.333729,Low
84,3/25/2011,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Summer,Clear/Partly Cloudy,2011,Fri,10.830847,12.8156,49.5,15.458575,Low
85,3/26/2011,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Summer,Clear/Partly Cloudy,2011,Sat,10.899153,12.87855,39.4167,14.041257,Low
86,3/27/2011,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Summer,Mist/Cloudy,2011,Sun,10.374763,12.51695,49.3913,12.3481,Low
87,3/28/2011,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Summer,Clear/Partly Cloudy,2011,Mon,10.838268,12.8787,30.2174,14.217668,Low
88,3/29/2011,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Summer,Clear/Partly Cloudy,2011,Tue,12.4025,14.6454,31.4167,15.208732,Low
89,3/30/2011,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Summer,Mist/Cloudy,2011,Wed,12.3,14.8675,64.6667,11.583496,Low
90,3/31/2011,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Summer,Light Rain/Snow,2011,Thu,11.001653,12.87875,91.8333,14.582282,Low
91,4/1/2011,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Summer,Mist/Cloudy,2011,Fri,12.3,14.1727,68.625,17.333436,Low
92,4/2/2011,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Summer,Mist/Cloudy,2011,Sat,12.915,15.78185,65.375,13.208782,Low
93,4/3/2011,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Summer,Clear/Partly Cloudy,2011,Sun,15.511653,18.93835,48,12.208271,Medium
94,4/4/2011,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Summer,Clear/Partly Cloudy,2011,Mon,23.506653,27.14645,42.625,25.833257,Low
95,4/5/2011,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Summer,Mist/Cloudy,2011,Tue,16.980847,19.9175,64.2083,26.000489,Low
96,4/6/2011,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Summer,Clear/Partly Cloudy,2011,Wed,16.024153,19.3804,47.0833,17.625221,Low
97,4/7/2011,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Summer,Clear/Partly Cloudy,2011,Thu,17.9375,21.6848,60.2917,10.874904,Low
98,4/8/2011,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Summer,Mist/Cloudy,2011,Fri,13.769153,16.22395,83.625,15.208464,Low
99,4/9/2011,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Summer,Mist/Cloudy,2011,Sat,14.0425,17.07645,87.75,8.916561,Low
100,4/10/2011,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Summer,Mist/Cloudy,2011,Sun,17.493347,21.33685,85.75,9.833389,Low
101,4/11/2011,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Summer,Mist/Cloudy,2011,Mon,24.421732,28.26085,71.6956,21.739758,Medium
102,4/12/2011,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Summer,Mist/Cloudy,2011,Tue,20.6025,24.6527,73.9167,18.416893,Low
103,4/13/2011,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Summer,Mist/Cloudy,2011,Wed,16.9125,20.86415,81.9167,16.791339,Low
104,4/14/2011,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Summer,Clear/Partly Cloudy,2011,Thu,19.1675,23.1371,54.0417,7.4169,Medium
105,4/15/2011,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Summer,Clear/Partly Cloudy,2011,Fri,18.313347,22.09565,67.125,15.167125,Low
106,4/16/2011,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Summer,Light Rain/Snow,2011,Sat,17.664153,21.2746,88.8333,22.834136,Low
107,4/17/2011,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Summer,Clear/Partly Cloudy,2011,Sun,18.723347,22.2848,47.9583,20.334232,Medium
108,4/18/2011,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Summer,Clear/Partly Cloudy,2011,Mon,21.0125,25.1573,54.25,10.958989,Medium
109,4/19/2011,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Summer,Mist/Cloudy,2011,Tue,20.739153,24.4629,66.5833,10.584057,Medium
110,4/20/2011,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Summer,Clear/Partly Cloudy,2011,Wed,24.395,28.2196,61.4167,16.208975,Medium
111,4/21/2011,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Summer,Clear/Partly Cloudy,2011,Thu,18.825847,22.6946,40.7083,21.792286,Medium
112,4/22/2011,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Summer,Mist/Cloudy,2011,Fri,13.803347,16.0977,72.9583,14.707907,Low
113,4/23/2011,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Summer,Mist/Cloudy,2011,Sat,18.86,22.50605,88.7917,15.458575,Medium
114,4/24/2011,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Summer,Mist/Cloudy,2011,Sun,23.848347,27.58815,81.0833,12.875725,Medium
115,4/25/2011,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Summer,Clear/Partly Cloudy,2011,Mon,24.873347,28.725,77.6667,12.417311,Medium
116,4/26/2011,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Summer,Clear/Partly Cloudy,2011,Tue,25.898347,29.70415,72.9167,21.8755,Medium
117,4/27/2011,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Summer,Mist/Cloudy,2011,Wed,25.42,28.7571,83.5417,20.9174,Medium
118,4/28/2011,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Summer,Mist/Cloudy,2011,Thu,25.3175,28.94645,70.0833,21.500836,Medium
119,4/29/2011,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Summer,Clear/Partly Cloudy,2011,Fri,20.91,24.87315,45.7083,16.084221,High
120,4/30/2011,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Summer,Clear/Partly Cloudy,2011,Sat,19.3725,23.20105,50.3333,15.750025,High
121,5/1/2011,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Summer,Mist/Cloudy,2011,Sun,18.518347,22.4102,76.2083,7.125718,Medium
122,5/2/2011,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Summer,Mist/Cloudy,2011,Mon,22.515847,26.64165,73,12.291418,Medium
123,5/3/2011,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Summer,Mist/Cloudy,2011,Tue,25.283347,29.10395,69.7083,22.958689,Medium
124,5/4/2011,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Summer,Mist/Cloudy,2011,Wed,16.980847,20.2325,73.7083,22.042732,Low
125,5/5/2011,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Summer,Clear/Partly Cloudy,2011,Thu,18.825847,22.09585,44.4167,19.791264,Medium
126,5/6/2011,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Summer,Clear/Partly Cloudy,2011,Fri,19.645847,23.70585,59,15.292482,High
127,5/7/2011,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Summer,Clear/Partly Cloudy,2011,Sat,21.32,25.63105,54.125,10.75015,High
128,5/8/2011,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Summer,Clear/Partly Cloudy,2011,Sun,21.661653,25.94665,63.1667,5.0007125,Medium
129,5/9/2011,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Summer,Clear/Partly Cloudy,2011,Mon,21.8325,26.2623,58.875,11.792,Medium
130,5/10/2011,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Summer,Clear/Partly Cloudy,2011,Tue,21.8325,26.13605,48.9167,7.749957,High
131,5/11/2011,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Summer,Clear/Partly Cloudy,2011,Wed,22.2425,26.42,63.2917,8.083014,Medium
132,5/12/2011,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Summer,Clear/Partly Cloudy,2011,Thu,21.935,26.16815,74.75,12.707689,High
133,5/13/2011,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Summer,Mist/Cloudy,2011,Fri,21.0125,24.715,86.3333,12.041575,Medium
134,5/14/2011,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Summer,Mist/Cloudy,2011,Sat,21.354153,25.03145,92.25,9.04165,Medium
135,5/15/2011,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Summer,Mist/Cloudy,2011,Sun,23.0625,26.8,86.7083,10.249593,High
136,5/16/2011,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Summer,Clear/Partly Cloudy,2011,Mon,23.6775,27.5256,78.7917,8.500357,Medium
137,5/17/2011,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Summer,Mist/Cloudy,2011,Tue,23.028347,26.92645,83.7917,18.582718,Medium
138,5/18/2011,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Summer,Mist/Cloudy,2011,Wed,22.55,26.3579,87,13.499964,Medium
139,5/19/2011,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Summer,Mist/Cloudy,2011,Thu,21.764153,25.5371,82.9583,7.250271,High
140,5/20/2011,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Summer,Clear/Partly Cloudy,2011,Fri,22.003347,26.4521,71.9583,8.375871,High
141,5/21/2011,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Summer,Clear/Partly Cloudy,2011,Sat,24.7025,28.59875,62.6667,8.08355,High
142,5/22/2011,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Summer,Clear/Partly Cloudy,2011,Sun,24.770847,28.725,74.9583,9.916536,High
143,5/23/2011,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Summer,Mist/Cloudy,2011,Mon,25.898347,29.5148,81,15.667414,Medium
